Player,Team,Goals,Assists,Matches,Shots
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,17,17,108
A. Isak,Newcastle,20,3,3,102
C. Wood,Nottm Forest,18,5,5,75
B. Mbeumo,Brentford,16,3,3,53
Y. Wissa,Brentford,15,5,5,67
C. Palmer,Chelsea,14,2,2,70
O. Watkins,Aston Villa,14,7,7,107
Matheus Cunha,Wolves,13,6,6,73
J. Mateta,Crystal Palace,13,4,4,86
J. Kluivert,Bournemouth,12,2,2,58
L. Delap,Ipswich,12,6,6,56
B. Johnson,Tottenham,11,2,2,60
J. Strand Larsen,Wolves,11,2,2,52
João Pedro,Brighton,10,2,2,44
L. Díaz,Liverpool,10,6,6,46
R. Jiménez,Fulham,10,5,5,58
J. Maddison,Tottenham,9,3,3,79
N. Jackson,Chelsea,9,6,6,38
K. Havertz,Arsenal,9,5,5,67
Evanilson,Bournemouth,9,3,3,52
Bruno Fernandes,Man Utd,8,0,0,56
M. Rogers,Aston Villa,8,9,9,79
J. Bowen,West Ham,8,7,7,48
A. Iwobi,Fulham,8,5,5,71
D. Welbeck,Brighton,8,5,5,57
C. Gakpo,Liverpool,8,4,4,50
Rodrigo Muniz,Fulham,8,3,3,44
Mohamed Salah,Liverpool,27,1,1,36
E. Haaland,Liverpool,27,17,17,108
A. Isak,Man City,21,3,3,102
C. Wood,Newcastle,20,5,5,75
B. Mbeumo,Nottm Forest,18,3,3,53
Y. Wissa,Brentford,16,5,5,67
C. Palmer,Brentford,15,2,2,70
O. Watkins,Chelsea,14,7,7,107
Matheus Cunha,Aston Villa,14,6,6,73
J. Mateta,Wolves,13,4,4,86
J. Kluivert,Crystal Palace,13,2,2,58
L. Delap,Bournemouth,12,6,6,56
B. Johnson,Ipswich,12,2,2,60
J. Strand Larsen,Tottenham,11,2,2,52
João Pedro,Wolves,11,2,2,44
L. Díaz,Brighton,10,6,6,46
R. Jiménez,Liverpool,10,5,5,58
J. Maddison,Fulham,10,3,3,79
N. Jackson,Tottenham,9,6,6,38
K. Havertz,Chelsea,9,5,5,67
Evanilson,Arsenal,9,3,3,52
Bruno Fernandes,Bournemouth,9,0,0,56
M. Rogers,Man Utd,8,9,9,79
J. Bowen,Aston Villa,8,7,7,48
A. Iwobi,West Ham,8,5,5,71
D. Welbeck,Fulham,8,5,5,57
C. Gakpo,Brighton,8,4,4,50
Rodrigo Muniz,Liverpool,8,3,3,44
Mohamed Salah,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
Mohamed Salah,Liverpool,27,17,17,108
E. Haaland,Man City,21,3,3,102
A. Isak,Newcastle,20,5,5,75
C. Wood,Nottm Forest,18,3,3,53
B. Mbeumo,Brentford,16,5,5,67
Y. Wissa,Brentford,15,2,2,70
C. Palmer,Chelsea,14,7,7,107
O. Watkins,Aston Villa,14,6,6,73
Matheus Cunha,Wolves,13,4,4,86
J. Mateta,Crystal Palace,13,2,2,58
J. Kluivert,Bournemouth,12,6,6,56
L. Delap,Ipswich,12,2,2,60
B. Johnson,Tottenham,11,2,2,52
J. Strand Larsen,Wolves,11,2,2,44
João Pedro,Brighton,10,6,6,46
L. Díaz,Liverpool,10,5,5,58
R. Jiménez,Fulham,10,3,3,79
J. Maddison,Tottenham,9,6,6,38
N. Jackson,Chelsea,9,5,5,67
K. Havertz,Arsenal,9,3,3,52
Evanilson,Bournemouth,9,0,0,56
Bruno Fernandes,Man Utd,8,9,9,79
M. Rogers,Aston Villa,8,7,7,48
J. Bowen,West Ham,8,5,5,71
A. Iwobi,Fulham,8,5,5,57
D. Welbeck,Brighton,8,4,4,50
C. Gakpo,Liverpool,8,3,3,44
Rodrigo Muniz,Fulham,8,1,1,36
